reference_number,determination_type,url,date
HU/12172/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-12172-2016,23 May 2018
HU/15641/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-15641-2017,21 Dec 2018
HU/03335/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-03335-2019,13 Feb 2020
HU/07398/2020,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07398-2020,8 Feb 2022
IA/09253/2015 & Others,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-09253-2015-others,26 Apr 2016
PA/08177/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08177-2019,24 Mar 2020
PA/04537/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-04537-2019,10 Jan 2020
PA/08046/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08046-2019,5 Mar 2020
IA/45917/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-45917-2014,7 Apr 2016
UI-2023-002391,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-002391,18 Mar 2024
HU/18365/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-18365-2016,18 Sep 2018
OA/21752/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-21752-2013,9 Sep 2015
IA/11533/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-11533-2015,26 Apr 2016
AA/10390/2012,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-10390-2012,8 Nov 2013
AA/10279/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-10279-2015,15 Sep 2016
PA/01147/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-01147-2018,5 Jul 2018
AA/10085/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-10085-2014,13 Apr 2016
AA/08370/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-08370-2015,31 May 2017
IA/14308/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-14308-2014,5 Sep 2014
EA/08045/2016 & EA/08051/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-08045-2016-ea-08051-2016,17 Apr 2018
HU/01362/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-01362-2017,24 Jan 2018
IA/25151/2013 & IA/25159/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-25151-2013-ia-25159-2013,26 Aug 2014
OA036232012,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa036232012,1 Jul 2013
AA/09860/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-09860-2014,17 Jul 2015
PA/02676/2015 & PA/03581/2015,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-02676-2015-pa-03581-2015,24 Jan 2017
PA/11032/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-11032-2017,31 Jul 2018
IA/41760/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-41760-2013,29 Aug 2014
UI-2023-004255 & Ors.,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-004255-ors,26 Jun 2024
OA/15410/2013 & OA/09434/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-15410-2013-oa-09434-2013,21 Aug 2014
IA/13807/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-13807-2015,30 Sep 2016
AA/05783/2013,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-05783-2013,21 Jul 2014
UI-2023-005520,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-005520,24 Apr 2024
